code,name,slug,county_code,county_name,pcode,area_km2,centroid_lat,centroid_lng,aliases
1,Changamwe,changamwe,1,Mombasa,KE001001,22.7649,-4.017337,39.591634,
2,Jomvu,jomvu,1,Mombasa,KE001002,31.7209,-3.990291,39.595419,
3,Kisauni,kisauni,1,Mombasa,KE001003,89.5266,-3.982033,39.704107,
4,Nyali,nyali,1,Mombasa,KE001004,22.8005,-4.03084,39.700416,
5,Likoni,likoni,1,Mombasa,KE001005,52.0764,-4.100653,39.64491,
6,Mvita,mvita,1,Mombasa,KE001006,14.719,-4.052701,39.661045,
7,Msambweni,msambweni,2,Kwale,KE002007,359.6966,-4.373132,39.486876,
8,Lungalunga,lungalunga,2,Kwale,KE002008,2018.8023,-4.434322,39.108897,
9,Matuga,matuga,2,Kwale,KE002009,1053.8521,-4.238669,39.413832,
10,Kinango,kinango,2,Kwale,KE002010,4833.6752,-3.945235,39.240023,
11,Kilifi North,kilifi-north,3,Kilifi,KE003011,784.4258,-3.499086,39.865845,
12,Kilifi South,kilifi-south,3,Kilifi,KE003012,424.284,-3.812798,39.749547,
13,Kaloleni,kaloleni,3,Kilifi,KE003013,668.3056,-3.773955,39.518364,
14,Rabai,rabai,3,Kilifi,KE003014,233.9353,-3.885523,39.626773,
15,Ganze,ganze,3,Kilifi,KE003015,2934.5629,-3.434755,39.465259,
16,Malindi,malindi,3,Kilifi,KE003016,576.7576,-3.231967,39.903352,
17,Magarini,magarini,3,Kilifi,KE003017,6977.0086,-2.829286,39.807531,
18,Garsen,garsen,4,Tana River,KE004018,15902.2878,-2.42641,39.211448,
19,Galole,galole,4,Tana River,KE004019,9687.2666,-1.505124,39.546526,
20,Bura,bura,4,Tana River,KE004020,13602.5387,-0.651422,39.300929,
21,Lamu East,lamu-east,5,Lamu,KE005021,2153.4829,-1.855652,41.06192,
22,Lamu West,lamu-west,5,Lamu,KE005022,3893.5387,-2.131765,40.570362,
23,Taveta,taveta,6,Taita-Taveta,KE006023,4007.2694,-3.438986,37.858915,
24,Wundanyi,wundanyi,6,Taita-Taveta,KE006024,850.9527,-3.299237,38.269435,
25,Mwatate,mwatate,6,Taita-Taveta,KE006025,3691.5493,-3.734183,38.291508,
26,Voi,voi,6,Taita-Taveta,KE006026,8581.2925,-3.338022,38.794244,
27,Garissa Township,garissa-township,7,Garissa,KE007027,568.3626,-0.425783,39.758714,Dujis
28,Balambala,balambala,7,Garissa,KE007028,4840.4634,-0.022736,39.365134,
29,Lagdera,lagdera,7,Garissa,KE007029,6453.8109,0.50121,39.22123,
30,Dadaab,dadaab,7,Garissa,KE007030,6925.175,0.063143,40.260799,
31,Fafi,fafi,7,Garissa,KE007031,16583.3956,-0.781902,40.435023,
32,Ijara,ijara,7,Garissa,KE007032,8224.9206,-1.433345,41.05607,
33,Wajir North,wajir-north,8,Wajir,KE008033,10398.865,2.989344,39.753455,
34,Wajir East,wajir-east,8,Wajir,KE008034,4279.5803,2.006195,40.708298,
35,Tarbaj,tarbaj,8,Wajir,KE008035,7544.371,2.379229,40.251366,
36,Wajir West,wajir-west,8,Wajir,KE008036,8124.321,1.648505,39.67597,
37,Eldas,eldas,8,Wajir,KE008037,4740.8298,2.194347,39.139074,
38,Wajir South,wajir-south,8,Wajir,KE008038,21580.6221,0.964336,40.239858,
39,Mandera West,mandera-west,9,Mandera,KE009039,5174.6443,3.457671,40.057937,
40,Banissa,banissa,9,Mandera,KE009040,3038.6155,3.985565,40.41331,
41,Mandera North,mandera-north,9,Mandera,KE009041,6129.7659,3.602606,40.643511,
42,Mandera South,mandera-south,9,Mandera,KE009042,5541.3417,2.721429,40.746669,
43,Mandera East,mandera-east,9,Mandera,KE009043,2551.3559,3.683968,41.501296,
44,Lafey,lafey,9,Mandera,KE009044,3543.5504,3.486414,41.170578,
45,Moyale,moyale,10,Marsabit,KE010045,9343.7658,2.902941,38.847778,
46,North Horr,north-horr,10,Marsabit,KE010046,40557.2732,3.176238,37.538807,
47,Saku,saku,10,Marsabit,KE010047,2046.5383,2.376314,37.949602,
48,Laisamis,laisamis,10,Marsabit,KE010048,24080.259,2.304031,37.302929,
49,Isiolo North,isiolo-north,11,Isiolo,KE011049,15321.5723,1.440988,38.728686,
50,Isiolo South,isiolo-south,11,Isiolo,KE011050,10077.7566,0.562425,38.452688,
51,Igembe South,igembe-south,12,Meru,KE012051,839.064,0.09935,38.14508,
52,Igembe Central,igembe-central,12,Meru,KE012052,802.3616,0.324737,37.868861,
53,Igembe North,igembe-north,12,Meru,KE012053,1075.9142,0.488958,37.977552,
54,Tigania West,tigania-west,12,Meru,KE012054,391.492,0.171292,37.743634,
55,Tigania East,tigania-east,12,Meru,KE012055,833.3164,0.269861,37.783194,
56,North Imenti,north-imenti,12,Meru,KE012056,301.9829,0.0443,37.692362,
