code,name,slug,capital,iso_code,pcode,former_province,former_province_code,economic_blocs,asal,city_status_since,constituencies,wards,area_km2,population_2009,population_2019,centroid_lat,centroid_lng,bbox_min_lng,bbox_min_lat,bbox_max_lng,bbox_max_lat,aliases
1,Mombasa,mombasa,Mombasa,KE-28,KE001,Coast,CST,JKP,,2002,6,30,212.5,939370,1208333,-3.990448,39.70113,39.564,-4.152,39.762,-3.921,
2,Kwale,kwale,Kwale,KE-19,KE002,Coast,CST,JKP,semi-arid,,4,20,8270.3,649931,866820,-4.120591,39.066136,38.446,-4.676,39.643,-3.564,
3,Kilifi,kilifi,Kilifi,KE-14,KE003,Coast,CST,JKP,semi-arid,,7,35,12245.9,1109735,1453787,-3.152441,39.672708,39.087,-3.994,40.24,-2.309,
4,Tana River,tana-river,Hola,KE-40,KE004,Coast,CST,FCDC;JKP,arid,,3,15,35375.8,240075,315943,-1.534918,39.550288,38.42,-3.069,40.736,-0.002,
5,Lamu,lamu,Lamu,KE-21,KE005,Coast,CST,FCDC;JKP,semi-arid,,2,10,6497.7,101539,143920,-2.063679,40.54583,40.212,-2.467,41.531,-1.661,
6,Taita-Taveta,taita-taveta,Mwatate,KE-39,KE006,Coast,CST,JKP,semi-arid,,4,20,17083.9,284657,340671,-3.405203,38.37176,37.584,-4.138,39.219,-2.68,
7,Garissa,garissa,Garissa,KE-07,KE007,North Eastern,NEA,FCDC,arid,,6,30,45720.2,623060,841353,-0.52049,40.35559,38.662,-2.036,41.562,0.996,
8,Wajir,wajir,Wajir,KE-46,KE008,North Eastern,NEA,FCDC,arid,,6,30,55840.6,661941,781263,1.939715,40.024507,38.888,0.184,40.992,3.695,
9,Mandera,mandera,Mandera,KE-24,KE009,North Eastern,NEA,FCDC,arid,,6,30,25797.7,1025756,867457,3.230964,40.711346,39.785,2.179,41.906,4.28,
10,Marsabit,marsabit,Marsabit,KE-25,KE010,Eastern,EST,FCDC,arid,,4,20,66923.1,291166,459785,2.86048,37.714884,36.05,1.263,39.346,4.454,
