code,name,slug,pcode,former_province_code,centroid_lat,centroid_lng,bbox_min_lng,bbox_min_lat,bbox_max_lng,bbox_max_lat,svg_x,svg_y,svg_width,svg_height,svg_path
1,Mombasa,mombasa,KE001,CST,-3.990448,39.70113,39.564,-4.152,39.762,-3.921,707.1,1168.9,24.8,28.9,M720.7 1168.9 716.6 1170 719.4 1172.9 719.2 1181.1 721 1181 720.7 1183.9 723.2 1186.4 731.9 1173.6 723.9 1172.7 723.7 1169.4ZM716.4 1183.4 717.9 1182.1 716.1 1177.5 710.5 1177.4 713.9 1173.6 713.7 1175.7 719.2 1177.9 718.6 1173.9 711.5 1172.5 707.7 1175.6 707.1 1180.4 709.9 1184.3ZM716.6 1185.9 710.6 1186.7 710.7 1191.9 708.5 1193.8 711.2 1192.9 712.6 1189.7 716.4 1193.5 714.9 1196.6 717 1197.8 720.9 1189 717.4 1188.8ZM716.6 1183.5 719.9 1188.3 721.9 1187.4 720.9 1183Z
2,Kwale,kwale,KE002,CST,-4.120591,39.066136,38.446,-4.676,39.643,-3.564,567.3,1124.1,149.7,139.4,M676.5 1124.1 647.4 1124.9 643.6 1139.3 632.6 1132.8 627.8 1140.7 640.9 1148.4 629.8 1173.7 567.3 1196.1 662.3 1263.5 664.1 1263.5 662.8 1259.8 664.7 1255.4 670.1 1254 667 1249.7 670.7 1251.9 676.7 1250 675.7 1258.3 687.5 1259.1 685.5 1254 687.1 1252.4 685 1252.1 683.6 1246.2 687.6 1247.7 690 1246 689.7 1243.1 691.6 1243.8 692.2 1242.2 694.5 1245.2 698.8 1236.7 699.1 1234.4 697.2 1234.3 698.5 1233.6 699.5 1235.9 700.2 1233.9 700.1 1228.7 703.1 1229.7 704 1233.2 713.2 1204.2 717 1197.8 714.9 1196.6 716.4 1193.5 712.6 1189.7 711.2 1192.9 708.5 1193.8 709.7 1191.4 709.2 1183.3 707 1181.3 707.9 1177.8 704.1 1177.5 705.1 1174.4 701.6 1168.1 689.1 1156.2 686.5 1156.9 684 1154.7 685.6 1146 681.3 1144.7 680 1128.5ZM693.5 1248.7 693.2 1245.5 692.2 1248.7 689.8 1248.6 691.5 1252.6ZM681.5 1260.8 681 1262.5 687.1 1262.5Z
3,Kilifi,kilifi,KE003,CST,-3.152441,39.672708,39.087,-3.994,40.24,-2.309,647.4,966.9,144.2,211.1,M784 1017.9 748.1 966.9 663.8 1062.2 647.4 1124.9 676.6 1124.2 680 1128.5 681.3 1144.7 685.6 1146 684 1154.7 686.5 1156.9 689.1 1156.2 698.7 1164.6 704.9 1173.6 704.6 1178 707.9 1177.8 707.7 1175.6 711.6 1172.5 717.6 1173.6 716.9 1169.5 722.9 1169.1 723 1166.8 723.7 1168.2 726.1 1165.3 724.1 1169.2 725.7 1172.2 730.6 1173.2 733 1171.9 745.4 1140.4 744.7 1138.3 741 1138.9 744.9 1138 744.2 1133.5 736.2 1133.6 734.9 1131.3 737.9 1131.4 734.1 1130 732.9 1127.1 734.4 1126.2 734.4 1129.9 738.6 1129.2 742.2 1132.6 745.4 1132.6 757.6 1103.8 755 1100.7 753.5 1102.1 753.8 1096.9 761.1 1092.7 759.5 1094.9 761.3 1099.1 757.9 1100.4 758.5 1101.9 776.6 1089.4 778.1 1085.1 776.6 1078.5 782 1069.9 781.3 1063.6 786.8 1054.6 791.6 1051.7 791.4 1050.5 788.3 1052.3 785.4 1051.5 782.3 1046.9 786 1021.2Z
4,Tana River,tana-river,KE004,CST,-1.534918,39.550288,38.42,-3.069,40.736,-0.002,564,678.3,289.7,383.8,M640.3 678.3 633.1 679.7 628.7 683.6 621.9 684.6 605.7 681.5 606.3 687.2 597.5 683.2 596.8 685 591.4 685 587.9 681.9 580.8 680.2 576.7 686 573 685.5 568.7 688.9 564 686.9 612.3 768.9 631.8 809.8 636.4 888.1 631.3 891.1 638.3 917.6 611.1 971 603.8 973.8 598.4 979.6 589.5 979.8 646.7 1059.8 652.6 1055.8 657.2 1061.7 664 1062.1 748.1 966.9 785.8 1020.1 794.5 1009.1 804.7 1001.9 817.4 996.2 826.9 994.5 825.9 993.5 837.7 998.1 853.7 985.3 844.5 986.6 817.2 978.2 811.5 982.2 804.9 978.2 792.9 978 792.9 959.3 785 923.3 785.1 911.8 782 905.9 783 894 781 880 772.6 862.8 767.8 842.3 768.8 834.3 753.4 803.5 753.8 798.7 749.6 790.2 749.2 782.4 744.5 773.3 745.1 770 738.9 752.3 731.4 746.5 727.4 746.3 723.2 739.8 715.7 739.6 714.9 718 693.5 697.5 687.7 696.2 677.3 689.4 656.3 688 647.8 679.1Z
5,Lamu,lamu,KE005,CST,-2.063679,40.54583,40.212,-2.467,41.531,-1.661,788.1,885.9,165,100.8,M932.8 910.4 953.1 885.9 873.3 892.7 788.1 932.8 792.9 959.3 792.9 978 804.9 978.2 811.5 982.2 817.2 978.2 844.7 986.7 857.7 984.7 864.8 974.8 860.6 971.3 858.1 976.6 859.1 974.1 856.7 968.2 849.5 966.7 848 964.6 854.2 961.8 849.9 961.1 852.4 959.8 851.1 955.6 859.7 960.9 861.3 957.6 870.2 957.6 871.4 956.1 869.2 954.9 871.7 954.9 870.4 953.6 872.1 951.8 877.4 955.9 875.7 939.7 873.8 937.3 871.7 937.9 872.1 936.3 868.4 937.2 873.2 936.2 870.9 934.2 871.9 932.7 874.1 934.2 874.6 930.4 865.4 930.7 870.8 928.6 856.8 921 865.8 923.3 865.9 921 867.7 924.5 869.4 923.1 870.3 926.9 873.3 926.4 877.3 929.8 881.6 926.3 880.7 921.1 883.7 918.9 883.2 917.1 890.3 911.6 890.8 914.5 883.1 921.6 883.2 927.8 888.6 934.3 894.7 928.5 893.6 926 897.8 923.8 899.4 924.8 911.5 915 911.7 916.9 913.7 916 914 918 915.6 917.6 914 921.9 919.1 920.8 919.2 925.8 932.2 912.3 930.3 910.6ZM899.2 934.8 897.2 934.7 894.4 939.8 882.9 942.8 886.8 945.9 891.6 942.2 893.2 942.3 893.8 945.4 896.7 942.7 897.6 945.4 900.2 945.5 898.4 940.8 900.3 938.7 905.6 940.4 907.1 938.3ZM872.7 959.1 864.1 963.7 863.6 969.9 870.1 965.8 875.8 965.4ZM884.8 959.9 882.7 955.9 883.2 959.6 881.4 960.4 882.2 958.6 880.1 957.3 879.1 960.9 878.9 958.2 874.6 956.2 877.8 963.4 882.2 963.4 881.2 965.2 877.6 964.7 876.1 967.7 881.2 966.8ZM903 940.5 902.6 941.8 905.7 942.7Z
6,Taita-Taveta,taita-taveta,KE006,CST,-3.405203,38.37176,37.584,-4.138,39.219,-2.68,459.5,1013.4,204.5,182.7,M533.4 1015.6 531.6 1013.4 530.6 1015.6 527.5 1015.6 508.3 1026.8 503.6 1024.8 501.3 1036.9 498.2 1039.2 495.2 1063.4 493.2 1063.5 493.2 1075.9 490.6 1076.9 487 1074.4 472.9 1075.4 475.4 1092.9 472.1 1093.7 471.5 1097.8 459.5 1108.3 459.6 1111.1 464.5 1111.7 461.9 1118.3 470.6 1116.5 479.4 1121.4 481.4 1127.4 482 1124.7 483.1 1127.6 484.6 1137.9 567.3 1196.1 629.8 1173.7 640.9 1148.4 627.8 1140.7 632.6 1132.8 643.6 1139.3 664 1061.7 657.2 1061.7 652.6 1055.8 647.3 1060.1 639.8 1056.1 633.6 1058.3 623.2 1058.2 612.3 1062 612.7 1060.1 608.3 1059 594.7 1058.3 587.5 1052.8 578.8 1050.2 568.9 1052.5 562.7 1044.3 556.7 1040.7 543.8 1023.2Z
7,Garissa,garissa,KE007,NEA,-0.52049,40.35559,38.662,-2.036,41.562,0.996,594.3,553.5,362.7,379.3,M712.9 591.6 707.1 583.5 698.2 558 694.3 553.5 675.8 562.4 666.2 572.5 658.8 587.3 654.3 591.7 647.1 593.4 643.3 592.3 637.8 599.9 629.2 599.6 625.4 603.1 618.8 603.2 607.3 613.9 601.9 612.3 599.5 614.6 594.3 614.2 596.2 616.2 606.2 655.1 602.8 663.2 603.8 677.6 605.2 681.9 621.9 684.6 628.7 683.6 636.1 678.8 646.1 678.5 656.3 688 677.7 689.5 696.8 700 714.9 718 715.6 739.5 723.2 739.8 727.4 746.3 731.4 746.5 738.9 752.3 745.1 770 744.5 773.3 749.2 782.4 749.6 790.2 753.8 798.7 753.4 803.5 768.8 834.3 767.8 842.3 772.6 862.7 781.3 880.7 783 894 782 905.9 785.1 911.4 784.9 923 788.1 932.8 873.3 892.7 957 885.4 956.9 877.7 885.8 781.8 885.7 620.2 868.9 631.1 858.2 633.8 851.2 638.1 846.9 645.8 842.4 649.2 834.8 651.2 828.7 649.7 824.9 654 811.5 655.1 803.2 653.2 792.1 647.3 781.8 637.3 768.9 628.8 759 626.8 749.6 620.2 745.9 620.6 733.5 616.1 728.1 612.2Z
8,Wajir,wajir,KE008,NEA,1.939715,40.024507,38.888,0.184,40.992,3.695,622.6,215.7,263.1,439.4,M734.7 215.7 732.5 220.1 710.2 241.6 705.7 252.6 700.9 251.5 698.5 244.4 690.2 245.7 689.8 244.5 677.8 244.4 678.2 240.1 676.5 240.2 674 247.6 679.2 270 679.8 293.8 672.7 298.1 667.3 304.6 660.8 308.2 655.2 308.6 652.2 311.4 650.7 317.3 644.9 317.4 644.3 335.8 637.1 351.6 633.9 356.8 622.6 359.8 628.3 381.2 628.7 407.9 634.7 419.2 635.8 427 644.1 437.1 652.7 443.7 662.1 463.5 675 469.5 686.3 482.6 692.5 486.1 671.2 494 694.3 553.9 698.2 558 706.9 583.2 722.7 605.7 734.6 616.7 745.9 620.6 749.6 620.2 759 626.8 768.9 628.8 781.8 637.3 791.4 646.8 802.7 653 811.9 655.1 821.5 654.7 825 654 828.4 649.7 834.8 651.2 842.4 649.2 846.9 645.8 851.2 638.1 858.2 633.8 868.9 631.1 885.7 620.2 885.7 406 876.7 404.4 865.8 391.9 853.9 388.6 844.9 379 844.7 374.7 839.4 371 835.5 365 824.2 337.8 826.7 335.3 826.8 330.8 823.4 327.8 823.3 319.1 795.4 306.2 765.9 273.1 734.9 260.7Z
9,Mandera,mandera,KE009,NEA,3.230964,40.711346,39.785,2.179,41.906,4.28,734.7,142.3,265.3,263.2,M858.1 142.3 810.9 163.1 785.5 171.5 780.8 175.8 744.7 194 734.7 215.7 734.9 260.7 765.9 273.1 795.4 306.2 823.3 319.1 823.4 327.8 826.8 330.8 826.7 335.3 824.2 337.8 835.5 365 839.4 371 844.7 374.7 844.9 379 853.9 388.6 865.8 391.9 876.7 404.4 885.6 405.5 885.9 324.7 927.6 283.8 1000 180.5 991.2 184.2 986.7 182.5 986 179.6 981 180.5 976.5 177.9 972.1 180.1 971.4 182.2 966.4 179.1 957.9 181 955.5 179.1 951.1 182.8 949.2 181.1 939.3 183.5 936.1 181.6 927.5 184.6 916.7 182.2 911.5 185.3 899.8 178.7 899.8 176.6 895.7 174.1 891.9 167.9 881.7 159.6 875.1 157.9 872.2 150.6 868.4 148.9 867.7 146.5Z
10,Marsabit,marsabit,KE010,EST,2.86048,37.714884,36.05,1.263,39.346,4.454,267.6,120.5,412.2,399.6,M293.3 120.5 267.6 120.9 267.9 272.8 277.4 276.3 280.3 275.6 278.6 283.7 280.5 292 276.9 305.1 292.3 308.9 293.3 307 296.8 316.3 308.9 322.8 315 337.9 317.3 339.7 316.2 348.4 325.8 357.8 327.7 362.5 326.9 372.1 329 377.2 331.5 378.2 335.4 376.2 337.5 378.4 339.4 376 341.3 379 341.9 375.7 347 370.6 348.8 371.1 349 363.8 356.3 363.5 367.1 393.5 373.3 403.8 376.3 415.3 375.9 425.5 380.1 424.7 387.8 429.9 406.6 432.3 407.8 437.1 415.6 443.8 420.7 444.2 424.6 459 431.5 462 459.1 507.5 461.5 504.1 462.9 506.1 468.2 502.9 491.9 499.7 493.1 495.6 505.5 504.6 504.8 520.1 554.2 480.7 559.5 457.8 631.8 415.5 628.7 407.6 627.6 376.7 622.6 359.8 633.9 356.8 637.1 351.6 644.3 335.8 644.9 317.4 650.7 317.3 652.2 311.4 655.2 308.6 660.8 308.2 667.3 304.6 672.7 298.1 679.8 293.8 679.2 270 674 247.6 677.1 240.6 669.8 243.6 660.5 242.7 647.4 234.8 643.4 237.4 639.2 237.1 638.8 238.7 632.6 236 631.6 237.9 624.8 238.2 600.9 230.8 597.4 224.3 594.8 228.2 588.4 225.7 583.9 226.8 578.9 220.4 576 221.3 576.8 223.8 567.5 227.1 535.4 224.8 527.6 226.6 515.5 216.2 512.5 211.4 501.4 205.9 402.5 140.5 390.3 129 389.1 130.8 366.9 121Z
