code,name,slug,district_code,district_name,former_province_code
1,Gatanga,gatanga,1,Gatanga,CEN
2,Kariara,kariara,1,Gatanga,CEN
3,Kiumbu-Ini,kiumbu-ini,1,Gatanga,CEN
4,Chania,chania,2,Gatundu,CEN
5,Forest,forest,2,Gatundu,CEN
6,Gatundu,gatundu,2,Gatundu,CEN
7,Mangu,mangu,2,Gatundu,CEN
8,Githunguri,githunguri,3,Githunguri,CEN
9,Ikinu,ikinu,3,Githunguri,CEN
10,Komothai,komothai,3,Githunguri,CEN
11,Kiambaa,kiambaa,4,Kiambu East(Kiambaa),CEN
12,Kiambu Muini.,kiambu-muini,4,Kiambu East(Kiambaa),CEN
13,Limuru,limuru,5,Kiambu West,CEN
14,Ndeiya,ndeiya,5,Kiambu West,CEN
15,Kabete,kabete,6,Kikuyu,CEN
16,Kikuyu,kikuyu,6,Kikuyu,CEN
17,Central,central,7,Kirinyaga,CEN
18,Gichugu,gichugu,7,Kirinyaga,CEN
19,Mt Kenya Forest,mt-kenya-forest,7,Kirinyaga,CEN
20,Mwea,mwea,7,Kirinyaga,CEN
21,Ndia,ndia,7,Kirinyaga,CEN
22,Gatamaiyu,gatamaiyu,8,Lari,CEN
23,Lari,lari,8,Lari,CEN
24,Aberdare Forest,aberdare-forest,9,Muranga North,CEN
25,Kahuro,kahuro,9,Muranga North,CEN
26,Kangema,kangema,9,Muranga North,CEN
27,Kiharu,kiharu,9,Muranga North,CEN
28,Mathioya,mathioya,9,Muranga North,CEN
29,Aberdare Forest,aberdare-forest,10,Muranga South,CEN
30,Kandara,kandara,10,Muranga South,CEN
31,Kigumo,kigumo,10,Muranga South,CEN
32,Makuyu,makuyu,10,Muranga South,CEN
33,Maragua,maragua,10,Muranga South,CEN
34,Aberdare Forest,aberdare-forest,11,Nyandarua North,CEN
35,Ndaragwa,ndaragwa,11,Nyandarua North,CEN
36,Oljoro-Orok,oljoro-orok,11,Nyandarua North,CEN
37,Olkalou,olkalou,11,Nyandarua North,CEN
