code,name,slug,division_code,division_name,district_code,district_name,former_province_code
1,Gatanga,gatanga,1,Gatanga,1,Gatanga,CEN
2,Kigio,kigio,1,Gatanga,1,Gatanga,CEN
3,Kiria-Ini,kiria-ini,1,Gatanga,1,Gatanga,CEN
4,Mugumo-Ini,mugumo-ini,1,Gatanga,1,Gatanga,CEN
5,Samuru,samuru,1,Gatanga,1,Gatanga,CEN
6,Gambuya,gambuya,2,Kariara,1,Gatanga,CEN
7,Kariara,kariara,2,Kariara,1,Gatanga,CEN
8,Kigoro,kigoro,2,Kariara,1,Gatanga,CEN
9,Ndakaini,ndakaini,2,Kariara,1,Gatanga,CEN
10,Kiumbu-Ini,kiumbu-ini,3,Kiumbu-Ini,1,Gatanga,CEN
11,Kiunyu,kiunyu,3,Kiumbu-Ini,1,Gatanga,CEN
12,Mukarara,mukarara,3,Kiumbu-Ini,1,Gatanga,CEN
13,Gituamba,gituamba,4,Chania,2,Gatundu,CEN
14,Kairi,kairi,4,Chania,2,Gatundu,CEN
15,Makwa,makwa,4,Chania,2,Gatundu,CEN
16,Forest,forest,5,Forest,2,Gatundu,CEN
17,Kiamwangi,kiamwangi,6,Gatundu,2,Gatundu,CEN
18,Kiganjo,kiganjo,6,Gatundu,2,Gatundu,CEN
19,Ndarugu,ndarugu,6,Gatundu,2,Gatundu,CEN
20,Ngenda,ngenda,6,Gatundu,2,Gatundu,CEN
21,Gakoe,gakoe,7,Mangu,2,Gatundu,CEN
22,Gathaite,gathaite,7,Mangu,2,Gatundu,CEN
23,Githombokoni,githombokoni,7,Mangu,2,Gatundu,CEN
24,Karuri,karuri,7,Mangu,2,Gatundu,CEN
25,Mangu,mangu,7,Mangu,2,Gatundu,CEN
26,Githunguri,githunguri,8,Githunguri,3,Githunguri,CEN
27,Ngewa,ngewa,8,Githunguri,3,Githunguri,CEN
28,Githiga,githiga,9,Ikinu,3,Githunguri,CEN
29,Ikinu,ikinu,9,Ikinu,3,Githunguri,CEN
30,Kiratina,kiratina,10,Komothai,3,Githunguri,CEN
31,Komothai,komothai,10,Komothai,3,Githunguri,CEN
32,Cianda,cianda,11,Kiambaa,4,Kiambu East(Kiambaa),CEN
33,Kiambaa,kiambaa,11,Kiambaa,4,Kiambu East(Kiambaa),CEN
34,Kihara,kihara,11,Kiambaa,4,Kiambu East(Kiambaa),CEN
35,Ruaka,ruaka,11,Kiambaa,4,Kiambu East(Kiambaa),CEN
36,Waguthu,waguthu,11,Kiambaa,4,Kiambu East(Kiambaa),CEN
37,Kamiti,kamiti,12,Kiambu Muini.,4,Kiambu East(Kiambaa),CEN
38,Kiambaa S/A,kiambaa-s-a,12,Kiambu Muini.,4,Kiambu East(Kiambaa),CEN
39,Ndumberi,ndumberi,12,Kiambu Muini.,4,Kiambu East(Kiambaa),CEN
40,Riabai,riabai,12,Kiambu Muini.,4,Kiambu East(Kiambaa),CEN
41,Tinganga,tinganga,12,Kiambu Muini.,4,Kiambu East(Kiambaa),CEN
42,Karambaini,karambaini,13,Limuru,5,Kiambu West,CEN
43,Limuru,limuru,13,Limuru,5,Kiambu West,CEN
44,Ngecha,ngecha,13,Limuru,5,Kiambu West,CEN
45,Rironi,rironi,13,Limuru,5,Kiambu West,CEN
46,Tigoni,tigoni,13,Limuru,5,Kiambu West,CEN
47,Ndeiya,ndeiya,14,Ndeiya,5,Kiambu West,CEN
48,Kabete,kabete,15,Kabete,6,Kikuyu,CEN
49,Muguga,muguga,15,Kabete,6,Kikuyu,CEN
50,Nyathuna,nyathuna,15,Kabete,6,Kikuyu,CEN
51,Karai,karai,16,Kikuyu,6,Kikuyu,CEN
52,Kikuyu,kikuyu,16,Kikuyu,6,Kikuyu,CEN
53,Kinoo,kinoo,16,Kikuyu,6,Kikuyu,CEN
54,Inoi,inoi,17,Central,7,Kirinyaga,CEN
55,Kanyekine,kanyekine,17,Central,7,Kirinyaga,CEN
56,Kerugoya,kerugoya,17,Central,7,Kirinyaga,CEN
57,Koroma,koroma,17,Central,7,Kirinyaga,CEN
58,Kutus,kutus,17,Central,7,Kirinyaga,CEN
59,Mutira,mutira,17,Central,7,Kirinyaga,CEN
60,Baragwi,baragwi,18,Gichugu,7,Kirinyaga,CEN
61,Kabare,kabare,18,Gichugu,7,Kirinyaga,CEN
62,Karumandi,karumandi,18,Gichugu,7,Kirinyaga,CEN
63,Kirima,kirima,18,Gichugu,7,Kirinyaga,CEN
64,Ngariama,ngariama,18,Gichugu,7,Kirinyaga,CEN
65,Njukiini,njukiini,18,Gichugu,7,Kirinyaga,CEN
66,Mt Kenya Forest,mt-kenya-forest,19,Mt Kenya Forest,7,Kirinyaga,CEN
67,Kangai,kangai,20,Mwea,7,Kirinyaga,CEN
68,Murinduko,murinduko,20,Mwea,7,Kirinyaga,CEN
69,Mutithi,mutithi,20,Mwea,7,Kirinyaga,CEN
70,Nyangati,nyangati,20,Mwea,7,Kirinyaga,CEN
71,Tebere,tebere,20,Mwea,7,Kirinyaga,CEN
72,Thiba,thiba,20,Mwea,7,Kirinyaga,CEN
73,Kariti,kariti,21,Ndia,7,Kirinyaga,CEN
74,Kiine,kiine,21,Ndia,7,Kirinyaga,CEN
75,Mukure,mukure,21,Ndia,7,Kirinyaga,CEN
76,Mwerua,mwerua,21,Ndia,7,Kirinyaga,CEN
77,Gatamaiyu,gatamaiyu,22,Gatamaiyu,8,Lari,CEN
78,Kamburu,kamburu,22,Gatamaiyu,8,Lari,CEN
79,Nyanduma,nyanduma,22,Gatamaiyu,8,Lari,CEN
80,Gitithia,gitithia,23,Lari,8,Lari,CEN
81,Kamae,kamae,23,Lari,8,Lari,CEN
82,Kijabe,kijabe,23,Lari,8,Lari,CEN
83,Kinale,kinale,23,Lari,8,Lari,CEN
84,Kirenga,kirenga,23,Lari,8,Lari,CEN
85,Lari,lari,23,Lari,8,Lari,CEN
86,Aberdare Forest,aberdare-forest,24,Aberdare Forest,9,Muranga North,CEN
87,Kahuhia,kahuhia,25,Kahuro,9,Muranga North,CEN
88,Mugoiri,mugoiri,25,Kahuro,9,Muranga North,CEN
89,Murarandia,murarandia,25,Kahuro,9,Muranga North,CEN
