code,name,slug,location_code,location_name,division_code,district_code,former_province_code,population_2009,population_male,population_female,households,area_km2,density_per_km2
1,Chomo,chomo,1,Gatanga,1,1,CEN,5517,2730,2787,1399,9.61,574.32
2,Gatanga,gatanga,1,Gatanga,1,1,CEN,2898,1453,1445,709,3.7,784.09
3,Kirwara,kirwara,1,Gatanga,1,1,CEN,5030,2427,2603,1351,6.79,740.29
4,Gakurari,gakurari,2,Kigio,1,1,CEN,2830,1356,1474,723,4.19,674.63
5,Ithangarari,ithangarari,2,Kigio,1,1,CEN,1765,854,911,465,2.05,859.55
6,Kigio,kigio,2,Kigio,1,1,CEN,3356,1679,1677,788,3.25,1032.65
7,Gathanji,gathanji,3,Kiria-Ini,1,1,CEN,2313,1113,1200,538,3.47,665.73
8,Kiria-Ini,kiria-ini,3,Kiria-Ini,1,1,CEN,2637,1300,1337,671,4.93,535.22
9,Mureke,mureke,3,Kiria-Ini,1,1,CEN,1607,782,825,376,2.5,642.67
10,Thare,thare,3,Kiria-Ini,1,1,CEN,1547,768,779,381,3.7,417.61
11,Mambanda,mambanda,4,Mugumo-Ini,1,1,CEN,2410,1157,1253,633,2.13,1133.16
12,Mithanduku-Ini,mithanduku-ini,4,Mugumo-Ini,1,1,CEN,3420,1696,1724,1013,2.59,1321.59
13,Mugumo-Ini,mugumo-ini,4,Mugumo-Ini,1,1,CEN,4967,2376,2591,1409,3.78,1314.86
14,Gathambara,gathambara,5,Samuru,1,1,CEN,5389,2945,2444,2065,36.93,145.92
15,Mwithingiri,mwithingiri,5,Samuru,1,1,CEN,2105,1141,964,723,24.96,84.34
16,Kiarutara,kiarutara,6,Gambuya,2,1,CEN,3597,1770,1827,915,8.57,419.49
17,Kiganjo,kiganjo,6,Gambuya,2,1,CEN,1259,636,623,312,3.25,386.98
18,Mwagu,mwagu,6,Gambuya,2,1,CEN,2040,1025,1015,493,5.08,401.8
19,Gatunguru,gatunguru,7,Kariara,2,1,CEN,2535,1233,1302,634,5.75,440.67
20,Gatura,gatura,7,Kariara,2,1,CEN,3556,1692,1864,1019,5.49,647.63
21,Karangi,karangi,7,Kariara,2,1,CEN,2688,1347,1341,723,8.29,324.29
22,Kimakia,kimakia,7,Kariara,2,1,CEN,31,19,12,18,70.71,0.44
23,Mbungiti,mbungiti,7,Kariara,2,1,CEN,2574,1282,1292,703,8.5,302.88
24,Giachuki,giachuki,8,Kigoro,2,1,CEN,1709,822,887,436,3.39,504.4
25,Gitiri,gitiri,8,Kigoro,2,1,CEN,3366,1629,1737,860,6.77,497.44
26,Kigoro,kigoro,8,Kigoro,2,1,CEN,4376,2178,2198,1184,9.83,445.23
27,Ndunyu Chege,ndunyu-chege,8,Kigoro,2,1,CEN,3117,1575,1542,768,4.43,703.52
28,Kanunga,kanunga,9,Ndakaini,2,1,CEN,1401,708,693,412,3.2,438.33
29,Kimandi/Wanyaga,kimandi-wanyaga,9,Ndakaini,2,1,CEN,3479,1685,1794,943,9.17,379.4
30,Ndakaini,ndakaini,9,Ndakaini,2,1,CEN,2444,1189,1255,684,8.5,287.54
31,Kagongo,kagongo,10,Kiumbu-Ini,3,1,CEN,2203,1072,1131,580,2.91,757.93
32,Kiumbu-Ini,kiumbu-ini,10,Kiumbu-Ini,3,1,CEN,2039,1007,1032,541,3.42,596.16
33,Nyaga,nyaga,10,Kiumbu-Ini,3,1,CEN,1833,876,957,468,2.62,698.68
34,Thuita,thuita,10,Kiumbu-Ini,3,1,CEN,3408,1672,1736,896,4.56,747.58
35,Gituamba,gituamba,11,Kiunyu,3,1,CEN,2845,1375,1470,712,3.72,765.3
36,Kiunyu,kiunyu,11,Kiunyu,3,1,CEN,3223,1554,1669,891,3.22,999.41
37,Rugaita,rugaita,11,Kiunyu,3,1,CEN,2393,1203,1190,609,2.57,930.37
38,Gatiiguru,gatiiguru,12,Mukarara,3,1,CEN,1967,920,1047,490,3.06,643.53
39,Mukarara,mukarara,12,Mukarara,3,1,CEN,3061,1528,1533,692,3.96,773.45
40,Mukurwe,mukurwe,12,Mukarara,3,1,CEN,2054,1018,1036,496,3.81,539.29
41,Njaiini,njaiini,12,Mukarara,3,1,CEN,2105,1004,1101,488,3.07,685
42,Gituamba,gituamba,13,Gituamba,4,2,CEN,4426,2158,2268,1149,8.19,540.61
43,Kiriko,kiriko,13,Gituamba,4,2,CEN,4646,2244,2402,1116,8.77,529.77
44,Maria-Ini,maria-ini,13,Gituamba,4,2,CEN,2127,1062,1065,524,6.34,335.72
45,Mataara,mataara,13,Gituamba,4,2,CEN,3698,1825,1873,989,10.24,361.29
46,Kairi,kairi,14,Kairi,4,2,CEN,3161,1542,1619,830,4.56,693.49
47,Muirigo,muirigo,14,Kairi,4,2,CEN,3053,1425,1628,788,3.47,880.79
48,Ngorongo,ngorongo,14,Kairi,4,2,CEN,2779,1304,1475,765,5.4,514.7
49,Makwa,makwa,15,Makwa,4,2,CEN,4311,2050,2261,1092,5.32,810.25
50,Ngethu,ngethu,15,Makwa,4,2,CEN,2297,1109,1188,640,4.09,561.04
51,Nguna,nguna,15,Makwa,4,2,CEN,4711,2310,2401,1207,5.62,838.29
52,Forest,forest,16,Forest,5,2,CEN,0,0,0,0,29,0
53,Gathage,gathage,17,Kiamwangi,6,2,CEN,4749,2265,2484,1301,7.18,661.69
54,Kiamwangi,kiamwangi,17,Kiamwangi,6,2,CEN,5463,2582,2881,1472,7.62,717.33
55,Kigongo,kigongo,17,Kiamwangi,6,2,CEN,4770,2296,2474,1208,6.75,706.83
56,Nembu,nembu,17,Kiamwangi,6,2,CEN,5389,2597,2792,1429,6.29,856.97
57,Gachika,gachika,18,Kiganjo,6,2,CEN,3931,1896,2035,1022,10.53,373.29
58,Gatitu,gatitu,18,Kiganjo,6,2,CEN,2556,1249,1307,615,5.54,461.38
59,Kiamworia,kiamworia,18,Kiganjo,6,2,CEN,5068,2476,2592,1253,8.79,576.39
60,Kiganjo,kiganjo,18,Kiganjo,6,2,CEN,7478,3558,3920,1980,12.26,609.83
61,Mundoro,mundoro,18,Kiganjo,6,2,CEN,4728,2296,2432,1265,9.66,489.44
62,Ndundu,ndundu,18,Kiganjo,6,2,CEN,3373,1643,1730,839,8.41,400.96
63,Gacharage,gacharage,19,Ndarugu,6,2,CEN,1704,828,876,395,4.61,369.43
64,Gitwe,gitwe,19,Ndarugu,6,2,CEN,4098,1919,2179,1021,10.13,404.35
65,Karatu,karatu,19,Ndarugu,6,2,CEN,2318,1088,1230,650,6.87,337.29
66,Karinga,karinga,19,Ndarugu,6,2,CEN,4813,2250,2563,1224,8.73,551.36
67,Kirangi,kirangi,19,Ndarugu,6,2,CEN,3553,1708,1845,942,10.15,350
68,Munyu-Ini,munyu-ini,19,Ndarugu,6,2,CEN,3759,1822,1937,897,9.87,380.71
69,Githunguchu,githunguchu,20,Ngenda,6,2,CEN,7908,3842,4066,2078,7.39,1070.6
70,Handege,handege,20,Ngenda,6,2,CEN,3497,1653,1844,864,5.77,605.67
71,Ituru,ituru,20,Ngenda,6,2,CEN,4526,2296,2230,1154,6.47,699.31
72,Kahuguini,kahuguini,20,Ngenda,6,2,CEN,5799,2897,2902,1547,8.41,689.55
73,Kimunyu,kimunyu,20,Ngenda,6,2,CEN,8699,4189,4510,2268,10.38,837.92
74,Kirangari,kirangari,20,Ngenda,6,2,CEN,5199,2413,2786,1701,2.64,1969.09
75,Ritho,ritho,20,Ngenda,6,2,CEN,5037,2432,2605,1300,9.42,534.95
76,Wamwangi,wamwangi,20,Ngenda,6,2,CEN,5765,2800,2965,1486,8.52,677.02
77,Gakoe,gakoe,21,Gakoe,7,2,CEN,3841,1832,2009,957,7.53,509.81
78,Ndiko,ndiko,21,Gakoe,7,2,CEN,2971,1453,1518,725,6.76,439.46
79,Gatei,gatei,22,Gathaite,7,2,CEN,4287,2093,2194,1079,7.28,588.99
80,Gathaite,gathaite,22,Gathaite,7,2,CEN,1351,657,694,338,3.53,382.45
81,Kamwangi,kamwangi,22,Gathaite,7,2,CEN,7216,3548,3668,1855,8.31,868.53
82,Kanyoni,kanyoni,22,Gathaite,7,2,CEN,4787,2338,2449,1195,9.15,523
