code,name,slug,constituency_code,constituency_name,county_code,county_name,sub_county,aliases
1,Port Reitz,port-reitz,1,Changamwe,1,Mombasa,changamwe,
2,Kipevu,kipevu,1,Changamwe,1,Mombasa,changamwe,
3,Airport,airport,1,Changamwe,1,Mombasa,changamwe,
4,Changamwe,changamwe,1,Changamwe,1,Mombasa,changamwe,
5,Chaani,chaani,1,Changamwe,1,Mombasa,changamwe,
6,Jomvu Kuu,jomvu-kuu,2,Jomvu,1,Mombasa,jomvu,
7,Miritini,miritini,2,Jomvu,1,Mombasa,jomvu,
8,Mikindani,mikindani,2,Jomvu,1,Mombasa,jomvu,
9,Mjambere,mjambere,3,Kisauni,1,Mombasa,kisauni,
10,Junda,junda,3,Kisauni,1,Mombasa,kisauni,
11,Bamburi,bamburi,3,Kisauni,1,Mombasa,kisauni,
12,Mwakirunge,mwakirunge,3,Kisauni,1,Mombasa,kisauni,
13,Mtopanga,mtopanga,3,Kisauni,1,Mombasa,kisauni,
14,Magogoni,magogoni,3,Kisauni,1,Mombasa,kisauni,
15,Shanzu,shanzu,3,Kisauni,1,Mombasa,kisauni,
16,Frere Town,frere-town,4,Nyali,1,Mombasa,nyali,
17,Ziwa la Ng'ombe,ziwa-la-ngombe,4,Nyali,1,Mombasa,nyali,
18,Mkomani,mkomani,4,Nyali,1,Mombasa,nyali,
19,Kongowea,kongowea,4,Nyali,1,Mombasa,nyali,
20,Kadzandani,kadzandani,4,Nyali,1,Mombasa,nyali,
21,Mtongwe,mtongwe,5,Likoni,1,Mombasa,likoni,
22,Shika Adabu,shika-adabu,5,Likoni,1,Mombasa,likoni,
23,Bofu,bofu,5,Likoni,1,Mombasa,likoni,
24,Likoni,likoni,5,Likoni,1,Mombasa,likoni,
25,Timbwani,timbwani,5,Likoni,1,Mombasa,likoni,
26,Mji wa Kale/Makadara,mji-wa-kale-makadara,6,Mvita,1,Mombasa,mvita,
27,Tudor,tudor,6,Mvita,1,Mombasa,mvita,
28,Tononoka,tononoka,6,Mvita,1,Mombasa,mvita,
29,Shimanzi/Ganjoni,shimanzi-ganjoni,6,Mvita,1,Mombasa,mvita,
30,Majengo,majengo,6,Mvita,1,Mombasa,mvita,
31,Gombatobongwe,gombatobongwe,7,Msambweni,2,Kwale,msambweni,
32,Ukunda,ukunda,7,Msambweni,2,Kwale,msambweni,
33,Kinondo,kinondo,7,Msambweni,2,Kwale,msambweni,
34,Ramisi,ramisi,7,Msambweni,2,Kwale,msambweni,
35,Pongwekikoneni,pongwekikoneni,8,Lungalunga,2,Kwale,lunga-lunga,
36,Dzombo,dzombo,8,Lungalunga,2,Kwale,lunga-lunga,
37,Mwereni,mwereni,8,Lungalunga,2,Kwale,lunga-lunga,
38,Vanga,vanga,8,Lungalunga,2,Kwale,lunga-lunga,
39,Tsimba Golini,tsimba-golini,9,Matuga,2,Kwale,matuga,
40,Waa,waa,9,Matuga,2,Kwale,matuga,
41,Tiwi,tiwi,9,Matuga,2,Kwale,matuga,
42,Kubo South,kubo-south,9,Matuga,2,Kwale,matuga,
43,Mkongani,mkongani,9,Matuga,2,Kwale,matuga,
44,Nadavaya,nadavaya,10,Kinango,2,Kwale,kinango,Ndavaya
45,Puma,puma,10,Kinango,2,Kwale,kinango,
46,Kinango,kinango,10,Kinango,2,Kwale,kinango,
47,Mackinnon-Road,mackinnon-road,10,Kinango,2,Kwale,kinango,
48,Chengoni/Samburu,chengoni-samburu,10,Kinango,2,Kwale,kinango,
49,Mwavumbo,mwavumbo,10,Kinango,2,Kwale,kinango,
50,Kasemeni,kasemeni,10,Kinango,2,Kwale,kinango,
51,Tezo,tezo,11,Kilifi North,3,Kilifi,kilifi-north,
52,Sokoni,sokoni,11,Kilifi North,3,Kilifi,kilifi-north,
53,Kibarani,kibarani,11,Kilifi North,3,Kilifi,kilifi-north,
54,Dabaso,dabaso,11,Kilifi North,3,Kilifi,kilifi-north,
55,Matsangoni,matsangoni,11,Kilifi North,3,Kilifi,kilifi-north,
56,Watamu,watamu,11,Kilifi North,3,Kilifi,kilifi-north,
57,Mnarani,mnarani,11,Kilifi North,3,Kilifi,kilifi-north,
58,Junju,junju,12,Kilifi South,3,Kilifi,kilifi-south,
59,Mwarakaya,mwarakaya,12,Kilifi South,3,Kilifi,kilifi-south,
60,Shimo la Tewa,shimo-la-tewa,12,Kilifi South,3,Kilifi,kilifi-south,
61,Chasimba,chasimba,12,Kilifi South,3,Kilifi,kilifi-south,
62,Mtepeni,mtepeni,12,Kilifi South,3,Kilifi,kilifi-south,
63,Mariakani,mariakani,13,Kaloleni,3,Kilifi,kaloleni,
64,Kayafungo,kayafungo,13,Kaloleni,3,Kilifi,kaloleni,
65,Kaloleni,kaloleni,13,Kaloleni,3,Kilifi,kaloleni,
66,Mwanamwinga,mwanamwinga,13,Kaloleni,3,Kilifi,kaloleni,
67,Mwawesa,mwawesa,14,Rabai,3,Kilifi,rabai,
68,Ruruma,ruruma,14,Rabai,3,Kilifi,rabai,
69,Kambe/Ribe,kambe-ribe,14,Rabai,3,Kilifi,rabai,
