pcode,name,area_sqkm,center_lat,center_lon
KE001,Mombasa,233.6082,-3.990448,39.70113
KE002,Kwale,8266.0262,-4.120591,39.066136
KE003,Kilifi,12599.2798,-3.152441,39.672708
KE004,Tana River,39192.0931,-1.534918,39.550288
KE005,Lamu,6047.0216,-2.063679,40.54583
KE006,Taita Taveta,17131.0639,-3.405203,38.37176
KE007,Garissa,43596.1281,-0.52049,40.35559
KE008,Wajir,56668.5893,1.939715,40.024507
KE009,Mandera,25979.2736,3.230964,40.711346
KE010,Marsabit,76027.8364,2.86048,37.714884
KE011,Isiolo,25399.3288,1.006385,38.747651
KE012,Meru,6992.5435,0.229055,37.776111
KE013,Tharaka-Nithi,2580.9839,-0.191445,37.960417
KE014,Embu,2823.706,-0.53283,37.664629
KE015,Kitui,30456.8838,-1.56049,38.37181
KE016,Machakos,6044.2587,-1.276237,37.394595
KE017,Makueni,8174.8532,-2.253637,37.876663
KE018,Nyandarua,3266.7259,-0.389093,36.497431
KE019,Nyeri,3334.5724,-0.314375,36.930473
KE020,Kirinyaga,1475.2819,-0.46735,37.301902
KE021,Murang'a,2525.4949,-0.828519,37.004173
KE022,Kiambu,2542.9717,-1.034385,36.843216
KE023,Turkana,70131.7589,3.162488,35.313492
KE024,West Pokot,9305.5101,1.893374,35.212768
KE025,Samburu,21015.6696,1.541373,36.94154
KE026,Trans Nzoia,2484.704,1.045915,34.980778
KE027,Uasin Gishu,3396.8391,0.478188,35.303799
KE028,Elgeyo-Marakwet,3008.3912,0.745102,35.560856
KE029,Nandi,2835.7865,0.227352,35.123876
KE030,Baringo,10889.2393,0.726352,36.018591
KE031,Laikipia,9536.9204,0.289134,36.825248
KE032,Nakuru,7487.0725,-0.458448,36.100384
KE033,Narok,17912.1847,-1.279878,35.476358
KE034,Kajiado,21884.8402,-2.112369,36.777606
KE035,Kericho,2513.2107,-0.316683,35.225997
KE036,Bomet,2438.2197,-0.716095,35.238459
KE037,Kakamega,3008.0193,0.49719,34.800929
KE038,Vihiga,560.4685,0.084857,34.707784
KE039,Bungoma,3016.1742,0.785694,34.718757
KE040,Busia,1811.5717,0.375707,34.265111
KE041,Siaya,3520.4349,-0.057674,34.199887
KE042,Kisumu,2665.036,-0.19438,34.777329
KE043,Homa Bay,4731.9341,-0.562403,34.314532
KE044,Migori,3144.2988,-1.018704,34.309173
KE045,Kisii,1313.7344,-0.736677,34.75351
KE046,Nyamira,897.1528,-0.649378,34.933398
KE047,Nairobi,707.5423,-1.300489,36.827926
