pcode,name,adm1_pcode,area_sqkm,center_lat,center_lon
KE001001,Changamwe,KE001,22.7649,-4.017337,39.591634
KE001002,Jomvu,KE001,31.7209,-3.990291,39.595419
KE001003,Kisauni,KE001,89.5266,-3.982033,39.704107
KE001004,Nyali,KE001,22.8005,-4.03084,39.700416
KE001005,Likoni,KE001,52.0764,-4.100653,39.64491
KE001006,Mvita,KE001,14.719,-4.052701,39.661045
KE002007,Msambweni,KE002,359.6966,-4.373132,39.486876
KE002008,Lunga Lunga,KE002,2018.8023,-4.434322,39.108897
KE002009,Matuga,KE002,1053.8521,-4.238669,39.413832
KE002010,Kinango,KE002,4833.6752,-3.945235,39.240023
KE003011,Kilifi North,KE003,784.4258,-3.499086,39.865845
KE003012,Kilifi South,KE003,424.284,-3.812798,39.749547
KE003013,Kaloleni,KE003,668.3056,-3.773955,39.518364
KE003014,Rabai,KE003,233.9353,-3.885523,39.626773
KE003015,Ganze,KE003,2934.5629,-3.434755,39.465259
KE003016,Malindi,KE003,576.7576,-3.231967,39.903352
KE003017,Magarini,KE003,6977.0086,-2.829286,39.807531
KE004018,Garsen,KE004,15902.2878,-2.42641,39.211448
KE004019,Galole,KE004,9687.2666,-1.505124,39.546526
KE004020,Bura,KE004,13602.5387,-0.651422,39.300929
KE005021,Lamu East,KE005,2153.4829,-1.855652,41.06192
KE005022,Lamu West,KE005,3893.5387,-2.131765,40.570362
KE006023,Taveta,KE006,4007.2694,-3.438986,37.858915
KE006024,Wundanyi,KE006,850.9527,-3.299237,38.269435
KE006025,Mwatate,KE006,3691.5493,-3.734183,38.291508
KE006026,Voi,KE006,8581.2925,-3.338022,38.794244
KE007027,Dujis,KE007,568.3626,-0.425783,39.758714
KE007028,Balambala,KE007,4840.4634,-0.022736,39.365134
KE007029,Lagdera,KE007,6453.8109,0.50121,39.22123
KE007030,Dadaab,KE007,6925.175,0.063143,40.260799
KE007031,Fafi,KE007,16583.3956,-0.781902,40.435023
KE007032,Ijara,KE007,8224.9206,-1.433345,41.05607
