ward_code,ward_name
1,PORT REITZ
2,KIPEVU
3,AIRPORT
4,CHANGAMWE
5,CHAANI
6,JOMVU KUU
7,MIRITINI
8,MIKINDANI
9,MJAMBERE
10,JUNDA
11,BAMBURI
12,MWAKIRUNGE
13,MTOPANGA
14,MAGOGONI
15,SHANZU
16,FRERE TOWN
17,ZIWA LA NG'OMBE
18,MKOMANI
19,KONGOWEA
20,KADZANDANI
21,MTONGWE
22,SHIKA ADABU
23,BOFU
24,LIKONI
25,TIMBWANI
26,MJI WA KALE/MAKADARA
27,TUDOR
28,TONONOKA
29,SHIMANZI/GANJONI
30,MAJENGO
31,GOMBATO BONGWE
32,UKUNDA
33,KINONDO
34,RAMISI
35,PONGWE/KIKONENI
36,DZOMBO
37,MWERENI
38,VANGA
39,TSIMBA GOLINI
40,WAA
41,TIWI
42,KUBO SOUTH
43,MKONGANI
44,NDAVAYA
45,PUMA
46,KINANGO
47,MACKINNON ROAD
48,CHENGONI/SAMBURU
49,MWAVUMBO
51,TEZO
52,SOKONI
53,KIBARANI
54,DABASO
55,MATSANGONI
56,WATAMU
57,MNARANI
58,JUNJU
59,MWARAKAYA
60,SHIMO LA TEWA
61,CHASIMBA
62,MTEPENI
63,MARIAKANI
64,KAYAFUNGO
65,KALOLENI
66,MWANAMWINGA
67,MWAWESA
68,RURUMA
69,KAMBE/RIBE
70,RABAI/KISURUTINI
71,GANZE
72,BAMBA
73,JARIBUNI
74,SOKOKE
75,JILORE
76,KAKUYUNI
77,GANDA
78,MALINDI TOWN
79,SHELLA
80,MARAFA
81,MAGARINI
82,GONGONI
83,ADU
84,GARASHI
85,SABAKI
86,KIPINI EAST
87,GARSEN SOUTH
88,KIPINI WEST
89,GARSEN CENTRAL
90,GARSEN WEST
91,GARSEN NORTH
92,KINAKOMBA
93,MIKINDUNI
94,CHEWANI
95,WAYU
96,CHEWELE
97,HIRIMANI
98,BANGALE
99,SALA
100,MADOGO
101,FAZA
102,KIUNGA
103,BASUBA
104,SHELLA
105,MKOMANI
106,HINDI
107,MKUNUMBI
108,HONGWE
109,WITU
110,BAHARI
111,CHALA
112,MAHOO
113,BOMANI
114,MBOGHONI
115,MATA
116,WUNDANYI/MBALE
117,WERUGHA
118,WUMINGU/KISHUSHE
119,MWANDA/MGANGE
120,RONG'E
121,MWATATE
122,BURA
123,CHAWIA
124,WUSI/KISHAMBA
125,MBOLOLO
126,SAGALLA
127,KALOLENI
128,MARUNGU
129,KASIGAU
130,NGOLIA
131,WABERI
132,GALBET
133,TOWNSHIP
134,IFTIN
135,BALAMBALA
136,DANYERE
137,JARA JARA
138,SAKA
139,SANKURI
140,MODOGASHE
141,BENANE
142,GOREALE
143,MAALIMIN
144,SABENA
145,BARAKI
146,DERTU
147,DADAAB
148,LABASIGALE
149,DAMAJALE
150,LIBOI
151,ABAKAILE
152,BURA
153,DEKAHARIA
154,JARAJILA
155,FAFI
156,NANIGHI
157,HULUGHO
158,SANGAILU
159,IJARA
160,MASALANI
161,GURAR
162,BUTE
163,KORONDILE
164,MALKAGUFU
165,BATALU
166,DANABA
167,GODOMA
168,WAGBERI
169,TOWNSHIP
170,BARWAGO
171,KHOROF/HARAR
172,ELBEN
173,SARMAN
174,TARBAJ
175,WARGADUD
176,ARBAJAHAN
177,HADADO/ATHIBOHOL
178,ADAMASAJIDE
179,GANYURE/WAGALLA
180,ELDAS
181,DELLA
182,LAKOLEY SOUTH/BASIR
183,ELNUR/TULA TULA
184,BENANE
185,BURDER
186,DADAJA BULLA
187,HABASSWEIN
188,LAGBOGHOL SOUTH
189,IBRAHIM URE
190,DIIF
191,TAKABA SOUTH
192,TAKABA
193,LAGSURE
194,DANDU
195,GITHER
196,BANISSA
197,DERKHALE
198,GUBA
199,MALKAMARI
200,KILIWEHIRI
201,ASHABITO
202,GUTICHA
203,MOROTHILE
204,RHAMU
205,RHAMU-DIMTU
206,WARGADUD
207,KUTULO
208,ELWAK SOUTH
209,SHIMBIR FATUMA
211,ARABIA
212,BULLA MPYA
213,KHALALIO
214,NEBOI
215,TOWNSHIP
216,LIBEHIA
217,FINO
218,LAFEY
219,WARANQARA
220,ALANGO GOF
221,BUTIYE
222,SOLOLO
223,HEILLU/MANYATTA
224,GOLBO
225,MOYALE TOWNSHIP
226,URAN
227,OBBU
228,DUKANA
229,MAIKONA
230,TURBI
231,NORTH HORR
232,ILLERET
233,SAGANTE/JALDESA
234,KARARE
235,MARSABIT CENTRAL
236,LOIYANGALANI
237,KARGI/SOUTH HORR
238,KORR/NGURUNIT
239,LOGO LOGO
240,LAISAMIS
241,WABERA
242,BULLA PESA
243,CHARI
244,CHERAB
245,NGARE MARA
246,BURAT
247,OLDO/NYIRO
248,GARBATULLA
249,KINNA
250,SERICHO
251,MAUA
252,KIEGOI/ANTUBOCHIU
253,ATHIRU GAITI
254,AKACHIU
255,KANUNI
256,AKIRANG'ONDU
257,ATHIRU RUUJINE
258,IGEMBE EAST
259,NJIA
260,KANGETA
261,ANTUAMBUI
262,NTUNENE
263,ANTUBETWE KIONGO
264,NAATHU
265,AMWATHI
266,ATHWANA
267,AKITHII
268,KIANJAI
269,NKOMO
270,MBEU
271,THANGATHA
272,MIKINDURI
273,KIGUCHWA
274,MUTHARA
275,KARAMA
276,MUNICIPALITY
277,NTIMA EAST
278,NTIMA WEST
279,NYAKI WEST
280,NYAKI EAST
281,TIMAU
282,KISIMA
283,KIIRUA/NAARI
284,RUIRI/RWARERA
285,MWANGANTHIA
286,ABOTHUGUCHI CENTRAL
288,ABOTHUGUCHI WEST
289,KIBIRICHIA
290,MITUNGUU
291,IGOJI EAST
292,IGOJI WEST
293,ABOGETA EAST
