province,district,division,location,sublocation,male,female,total,households,area_sqkm,density
CENTRAL,GATANGA,GATANGA,GATANGA,CHOMO,2730,2787,5517,1399,9.61,574.32
CENTRAL,GATANGA,GATANGA,GATANGA,GATANGA,1453,1445,2898,709,3.7,784.09
CENTRAL,GATANGA,GATANGA,GATANGA,KIRWARA,2427,2603,5030,1351,6.79,740.29
CENTRAL,GATANGA,GATANGA,KIGIO,GAKURARI,1356,1474,2830,723,4.19,674.63
CENTRAL,GATANGA,GATANGA,KIGIO,ITHANGARARI,854,911,1765,465,2.05,859.55
CENTRAL,GATANGA,GATANGA,KIGIO,KIGIO,1679,1677,3356,788,3.25,1032.65
CENTRAL,GATANGA,GATANGA,KIRIA-INI,GATHANJI,1113,1200,2313,538,3.47,665.73
CENTRAL,GATANGA,GATANGA,KIRIA-INI,KIRIA-INI,1300,1337,2637,671,4.93,535.22
CENTRAL,GATANGA,GATANGA,KIRIA-INI,MUREKE,782,825,1607,376,2.5,642.67
CENTRAL,GATANGA,GATANGA,KIRIA-INI,THARE,768,779,1547,381,3.7,417.61
CENTRAL,GATANGA,GATANGA,MUGUMO-INI,MAMBANDA,1157,1253,2410,633,2.13,1133.16
CENTRAL,GATANGA,GATANGA,MUGUMO-INI,MITHANDUKU-INI,1696,1724,3420,1013,2.59,1321.59
CENTRAL,GATANGA,GATANGA,MUGUMO-INI,MUGUMO-INI,2376,2591,4967,1409,3.78,1314.86
CENTRAL,GATANGA,GATANGA,SAMURU,GATHAMBARA,2945,2444,5389,2065,36.93,145.92
CENTRAL,GATANGA,GATANGA,SAMURU,MWITHINGIRI,1141,964,2105,723,24.96,84.34
CENTRAL,GATANGA,KARIARA,GAMBUYA,KIARUTARA,1770,1827,3597,915,8.57,419.49
CENTRAL,GATANGA,KARIARA,GAMBUYA,KIGANJO,636,623,1259,312,3.25,386.98
CENTRAL,GATANGA,KARIARA,GAMBUYA,MWAGU,1025,1015,2040,493,5.08,401.8
CENTRAL,GATANGA,KARIARA,KARIARA,GATUNGURU,1233,1302,2535,634,5.75,440.67
CENTRAL,GATANGA,KARIARA,KARIARA,GATURA,1692,1864,3556,1019,5.49,647.63
CENTRAL,GATANGA,KARIARA,KARIARA,KARANGI,1347,1341,2688,723,8.29,324.29
CENTRAL,GATANGA,KARIARA,KARIARA,KIMAKIA,19,12,31,18,70.71,0.44
CENTRAL,GATANGA,KARIARA,KARIARA,MBUNGITI,1282,1292,2574,703,8.5,302.88
CENTRAL,GATANGA,KARIARA,KIGORO,GIACHUKI,822,887,1709,436,3.39,504.4
CENTRAL,GATANGA,KARIARA,KIGORO,GITIRI,1629,1737,3366,860,6.77,497.44
CENTRAL,GATANGA,KARIARA,KIGORO,KIGORO,2178,2198,4376,1184,9.83,445.23
CENTRAL,GATANGA,KARIARA,KIGORO,NDUNYU CHEGE,1575,1542,3117,768,4.43,703.52
CENTRAL,GATANGA,KARIARA,NDAKAINI,KANUNGA,708,693,1401,412,3.2,438.33
CENTRAL,GATANGA,KARIARA,NDAKAINI,KIMANDI/WANYAGA,1685,1794,3479,943,9.17,379.4
CENTRAL,GATANGA,KARIARA,NDAKAINI,NDAKAINI,1189,1255,2444,684,8.5,287.54
CENTRAL,GATANGA,KIUMBU-INI,KIUMBU-INI,KAGONGO,1072,1131,2203,580,2.91,757.93
CENTRAL,GATANGA,KIUMBU-INI,KIUMBU-INI,KIUMBU-INI,1007,1032,2039,541,3.42,596.16
CENTRAL,GATANGA,KIUMBU-INI,KIUMBU-INI,NYAGA,876,957,1833,468,2.62,698.68
CENTRAL,GATANGA,KIUMBU-INI,KIUMBU-INI,THUITA,1672,1736,3408,896,4.56,747.58
CENTRAL,GATANGA,KIUMBU-INI,KIUNYU,GITUAMBA,1375,1470,2845,712,3.72,765.3
CENTRAL,GATANGA,KIUMBU-INI,KIUNYU,KIUNYU,1554,1669,3223,891,3.22,999.41
CENTRAL,GATANGA,KIUMBU-INI,KIUNYU,RUGAITA,1203,1190,2393,609,2.57,930.37
CENTRAL,GATANGA,KIUMBU-INI,MUKARARA,GATIIGURU,920,1047,1967,490,3.06,643.53
CENTRAL,GATANGA,KIUMBU-INI,MUKARARA,MUKARARA,1528,1533,3061,692,3.96,773.45
CENTRAL,GATANGA,KIUMBU-INI,MUKARARA,MUKURWE,1018,1036,2054,496,3.81,539.29
CENTRAL,GATANGA,KIUMBU-INI,MUKARARA,NJAIINI,1004,1101,2105,488,3.07,685
CENTRAL,GATUNDU,CHANIA,GITUAMBA,GITUAMBA,2158,2268,4426,1149,8.19,540.61
CENTRAL,GATUNDU,CHANIA,GITUAMBA,KIRIKO,2244,2402,4646,1116,8.77,529.77
CENTRAL,GATUNDU,CHANIA,GITUAMBA,MARIA-INI,1062,1065,2127,524,6.34,335.72
CENTRAL,GATUNDU,CHANIA,GITUAMBA,MATAARA,1825,1873,3698,989,10.24,361.29
CENTRAL,GATUNDU,CHANIA,KAIRI,KAIRI,1542,1619,3161,830,4.56,693.49
CENTRAL,GATUNDU,CHANIA,KAIRI,MUIRIGO,1425,1628,3053,788,3.47,880.79
CENTRAL,GATUNDU,CHANIA,KAIRI,NGORONGO,1304,1475,2779,765,5.4,514.7
CENTRAL,GATUNDU,CHANIA,MAKWA,MAKWA,2050,2261,4311,1092,5.32,810.25
CENTRAL,GATUNDU,CHANIA,MAKWA,NGETHU,1109,1188,2297,640,4.09,561.04
CENTRAL,GATUNDU,CHANIA,MAKWA,NGUNA,2310,2401,4711,1207,5.62,838.29
CENTRAL,GATUNDU,FOREST,FOREST,FOREST,0,0,0,0,29,0
CENTRAL,GATUNDU,GATUNDU,KIAMWANGI,GATHAGE,2265,2484,4749,1301,7.18,661.69
CENTRAL,GATUNDU,GATUNDU,KIAMWANGI,KIAMWANGI,2582,2881,5463,1472,7.62,717.33
CENTRAL,GATUNDU,GATUNDU,KIAMWANGI,KIGONGO,2296,2474,4770,1208,6.75,706.83
CENTRAL,GATUNDU,GATUNDU,KIAMWANGI,NEMBU,2597,2792,5389,1429,6.29,856.97
CENTRAL,GATUNDU,GATUNDU,KIGANJO,GACHIKA,1896,2035,3931,1022,10.53,373.29
CENTRAL,GATUNDU,GATUNDU,KIGANJO,GATITU,1249,1307,2556,615,5.54,461.38
CENTRAL,GATUNDU,GATUNDU,KIGANJO,KIAMWORIA,2476,2592,5068,1253,8.79,576.39
CENTRAL,GATUNDU,GATUNDU,KIGANJO,KIGANJO,3558,3920,7478,1980,12.26,609.83
CENTRAL,GATUNDU,GATUNDU,KIGANJO,MUNDORO,2296,2432,4728,1265,9.66,489.44
CENTRAL,GATUNDU,GATUNDU,KIGANJO,NDUNDU,1643,1730,3373,839,8.41,400.96
CENTRAL,GATUNDU,GATUNDU,NDARUGU,GACHARAGE,828,876,1704,395,4.61,369.43
CENTRAL,GATUNDU,GATUNDU,NDARUGU,GITWE,1919,2179,4098,1021,10.13,404.35
CENTRAL,GATUNDU,GATUNDU,NDARUGU,KARATU,1088,1230,2318,650,6.87,337.29
CENTRAL,GATUNDU,GATUNDU,NDARUGU,KARINGA,2250,2563,4813,1224,8.73,551.36
CENTRAL,GATUNDU,GATUNDU,NDARUGU,KIRANGI,1708,1845,3553,942,10.15,350
CENTRAL,GATUNDU,GATUNDU,NDARUGU,MUNYU-INI,1822,1937,3759,897,9.87,380.71
CENTRAL,GATUNDU,GATUNDU,NGENDA,GITHUNGUCHU,3842,4066,7908,2078,7.39,1070.6
CENTRAL,GATUNDU,GATUNDU,NGENDA,HANDEGE,1653,1844,3497,864,5.77,605.67
CENTRAL,GATUNDU,GATUNDU,NGENDA,ITURU,2296,2230,4526,1154,6.47,699.31
CENTRAL,GATUNDU,GATUNDU,NGENDA,KAHUGUINI,2897,2902,5799,1547,8.41,689.55
CENTRAL,GATUNDU,GATUNDU,NGENDA,KIMUNYU,4189,4510,8699,2268,10.38,837.92
CENTRAL,GATUNDU,GATUNDU,NGENDA,KIRANGARI,2413,2786,5199,1701,2.64,1969.09
CENTRAL,GATUNDU,GATUNDU,NGENDA,RITHO,2432,2605,5037,1300,9.42,534.95
CENTRAL,GATUNDU,GATUNDU,NGENDA,WAMWANGI,2800,2965,5765,1486,8.52,677.02
CENTRAL,GATUNDU,MANGU,GAKOE,GAKOE,1832,2009,3841,957,7.53,509.81
CENTRAL,GATUNDU,MANGU,GAKOE,NDIKO,1453,1518,2971,725,6.76,439.46
CENTRAL,GATUNDU,MANGU,GATHAITE,GATEI,2093,2194,4287,1079,7.28,588.99
CENTRAL,GATUNDU,MANGU,GATHAITE,GATHAITE,657,694,1351,338,3.53,382.45
CENTRAL,GATUNDU,MANGU,GATHAITE,KAMWANGI,3548,3668,7216,1855,8.31,868.53
CENTRAL,GATUNDU,MANGU,GATHAITE,KANYONI,2338,2449,4787,1195,9.15,523
CENTRAL,GATUNDU,MANGU,GATHAITE,MWIMUTO,1182,1343,2525,628,6.33,398.6
CENTRAL,GATUNDU,MANGU,GITHOMBOKONI,GACHEGE,1618,1723,3341,822,6.52,512.67
CENTRAL,GATUNDU,MANGU,GITHOMBOKONI,KAMUNYAKA,962,979,1941,477,5.9,329.07
CENTRAL,GATUNDU,MANGU,GITHOMBOKONI,KIENI,708,669,1377,470,95.06,14.49
CENTRAL,GATUNDU,MANGU,GITHOMBOKONI,NJAHI,1279,1473,2752,721,7.45,369.46
CENTRAL,GATUNDU,MANGU,KARURI,IGEGANIA,1984,2206,4190,1044,4.34,966.28
CENTRAL,GATUNDU,MANGU,KARURI,KARURI,1137,1212,2349,647,2.54,923.68
CENTRAL,GATUNDU,MANGU,KARURI,NYAMANGARA,1772,1836,3608,904,5.02,718.18
CENTRAL,GATUNDU,MANGU,MANGU,GATUKUYU,3191,3378,6569,1730,4.45,1476.18
CENTRAL,GATUNDU,MANGU,MANGU,MANGU,3052,3251,6303,1585,6.44,978.3
CENTRAL,GATUNDU,MANGU,MANGU,MITERO,1362,1535,2897,766,3.54,818.41
CENTRAL,GATUNDU,MANGU,MANGU,MUKURWE,1530,1567,3097,762,4.89,633.45
CENTRAL,GITHUNGURI,GITHUNGURI,GITHUNGURI,GITHUNGURI,8692,9030,17722,5152,15.02,1179.78
CENTRAL,GITHUNGURI,GITHUNGURI,GITHUNGURI,KANJAI,4330,4416,8746,2177,9.07,964.29
CENTRAL,GITHUNGURI,GITHUNGURI,GITHUNGURI,KIAIRIA,4920,4990,9910,2395,12.6,786.7
CENTRAL,GITHUNGURI,GITHUNGURI,NGEWA,GIATHIEKO,2205,2237,4442,1142,5.18,857.3
CENTRAL,GITHUNGURI,GITHUNGURI,NGEWA,KIMATHI,3722,3788,7510,1907,10.13,741.51
CENTRAL,GITHUNGURI,GITHUNGURI,NGEWA,NYAGA,5214,5227,10441,2936,9.27,1125.86
CENTRAL,GITHUNGURI,IKINU,GITHIGA,GATHANGARI,3277,3353,6630,1848,12.93,512.83
CENTRAL,GITHUNGURI,IKINU,GITHIGA,GITHIGA,7211,7331,14542,3920,13.46,1080.35
CENTRAL,GITHUNGURI,IKINU,GITHIGA,GITIHA,3147,3349,6496,1708,8.95,725.95
CENTRAL,GITHUNGURI,IKINU,GITHIGA,MATUGUTA,1586,1657,3243,880,5.38,602.97
CENTRAL,GITHUNGURI,IKINU,IKINU,IKINU,3189,3272,6461,1712,5.31,1215.66
CENTRAL,GITHUNGURI,IKINU,IKINU,KIAIBABU,3464,3476,6940,1716,5.53,1254.04
CENTRAL,GITHUNGURI,IKINU,IKINU,LIOKI,3075,3179,6254,1640,6.8,919.49
CENTRAL,GITHUNGURI,IKINU,IKINU,NGEMWA,1967,2046,4013,982,4.71,852.63
CENTRAL,GITHUNGURI,KOMOTHAI,KIRATINA,GATHUGU,3725,3707,7432,1808,12.82,579.64
CENTRAL,GITHUNGURI,KOMOTHAI,KIRATINA,KIBICHOI,4081,4325,8406,2330,8.43,997.65
CENTRAL,GITHUNGURI,KOMOTHAI,KIRATINA,KIRATINA,4179,4535,8714,2382,11.73,742.7
CENTRAL,GITHUNGURI,KOMOTHAI,KOMOTHAI,KIAMBURURU,1969,1930,3899,1020,6.04,645.79
CENTRAL,GITHUNGURI,KOMOTHAI,KOMOTHAI,MBARI YA IGI,1822,1915,3737,1066,7.55,494.76
CENTRAL,GITHUNGURI,KOMOTHAI,KOMOTHAI,THUITA,1070,1155,2225,629,2.55,874.06
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,CIANDA,CIANDA,1447,1253,2700,950,21.03,128.4
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,CIANDA,KAWAIDA,6091,6328,12419,3574,15.66,793.2
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIAMBAA,KARURI,5610,5826,11436,3326,4,2861.07
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIAMBAA,KIAMBAA,3977,3930,7907,2148,4.27,1851.97
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIAMBAA,MUCHATHA,6556,6548,13104,4033,3.16,4145.65
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIAMBAA,NJIKU,5516,5801,11317,3173,6.18,1830.43
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIAMBAA,NJORO,2328,2582,4910,1432,3.01,1632.31
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIHARA,GACHIE,11948,10495,22443,7655,2.66,8452.15
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIHARA,KARURA,2384,2334,4718,1278,2.5,1884.03
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIHARA,KIHARA,7084,7350,14434,4195,2.7,5340.98
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIHARA,MAHINDI,1873,2023,3896,1048,2.5,1558.77
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,KIHARA,WANGUNYU,1772,1804,3576,944,2.57,1391.22
CENTRAL,KIAMBU EAST(KIAMBAA),KIAMBAA,RUAKA,NDENDERU,4942,5233,10175,3022,3.31,3071.23
