county,subcounty,ward
BARINGO,Baringo Central,Ewalel/chapchap
BARINGO,Baringo Central,Kabarnet
BARINGO,Baringo Central,Kapropita
BARINGO,Baringo Central,Sacho
BARINGO,Baringo Central,Tenges
BARINGO,Baringo North,Bartabwa
BARINGO,Baringo North,Barwessa
BARINGO,Baringo North,Kabartonjo
BARINGO,Baringo North,Saimo/soi
BARINGO,Baringo North,Saimoi/kipsaraman
BARINGO,Koibatek,Koibatek
BARINGO,Koibatek,Lembus
BARINGO,Koibatek,Lembus kwen
BARINGO,Koibatek,Lembus/Perkerra
BARINGO,Koibatek,Mumberes/Maji Mazuri
BARINGO,Koibatek,Ravine
BARINGO,Marigat,Iichamus
BARINGO,Marigat,Marigat
BARINGO,Marigat,Mochongoi
BARINGO,Marigat,Mukutani
BARINGO,Mogotio,Emining
BARINGO,Mogotio,Kisanana
BARINGO,Mogotio,Mogotio
BARINGO,Tiaty,Churo/amaya
BARINGO,Tiaty,Kolowa
BARINGO,Tiaty,Loiyamorok
BARINGO,Tiaty,Ribkwo
BARINGO,Tiaty,Silale
BARINGO,Tiaty,Tangulbei/korossi
BARINGO,Tiaty,Tirioko
Bomet,Bomet Central,Chesoen
Bomet,Bomet Central,Mutarakwa
Bomet,Bomet Central,Ndaraweta
Bomet,Bomet Central,Silibwet Township
Bomet,Bomet Central,Singorwet
Bomet,Bomet East,Chemaner
Bomet,Bomet East,Kembu
Bomet,Bomet East,Kipreres
Bomet,Bomet East,Longisa
Bomet,Bomet East,Merigi
Bomet,Chepalungu,Chebunyo
Bomet,Chepalungu,Kong'asis
Bomet,Chepalungu,Nyangores
Bomet,Chepalungu,Sigor
Bomet,Chepalungu,Siongiroi
Bomet,Konoin,Boito
Bomet,Konoin,Chepchabas
Bomet,Konoin,Embomos
Bomet,Konoin,Kimulot
Bomet,Konoin,Mogogosiek
Bomet,Sotik,Chemagel
Bomet,Sotik,Kapletundo
Bomet,Sotik,Kipsonoi
Bomet,Sotik,Ndanai/abosi
Bomet,Sotik,Rongena/manaret
Bungoma,Bumula,Bumula
Bungoma,Bumula,Kabula
Bungoma,Bumula,Khasoko
Bungoma,Bumula,Kimaeti
Bungoma,Bumula,Siboti
Bungoma,Bumula,South Bukusu
Bungoma,Bumula,West Bukusu
Bungoma,Cheptais,Cheptais
Bungoma,Cheptais,Chepyuk
Bungoma,Cheptais,Chesikaki
Bungoma,Cheptais,Kakateny
Bungoma,Kabuchai,Bwake/luuya
Bungoma,Kabuchai,Kabuchai/chwele
Bungoma,Kabuchai,Mukuyuni
Bungoma,Kabuchai,West Nalondo
Bungoma,Kanduyi,Bukembe East
Bungoma,Kanduyi,Bukembe West
Bungoma,Kanduyi,East Sang'alo
Bungoma,Kanduyi,Khalaba
Bungoma,Kanduyi,Marakaru/tuuti
Bungoma,Kanduyi,Musikoma
Bungoma,Kanduyi,Township
Bungoma,Kanduyi,West Sang'alo
Bungoma,Kimilili,Kamukuywa
Bungoma,Kimilili,Kibingei
Bungoma,Kimilili,Kimilili
Bungoma,Kimilili,Maeni
Bungoma,Mt Elgon,Elgon
Bungoma,Mt Elgon,Kaptama
Bungoma,Sirisia,Lwandanyi
Bungoma,Sirisia,Malakisi/south Kulisiru
Bungoma,Sirisia,Namwela
Bungoma,Tongaren,Mbakalo
Bungoma,Tongaren,Milima
Bungoma,Tongaren,Naitiri/kabuyefwe
Bungoma,Tongaren,Ndalu/ Tabani
Bungoma,Tongaren,Soysambu/ Mitua
Bungoma,Tongaren,Tongaren
Bungoma,Webuye East,Maraka
Bungoma,Webuye East,Mihuu
Bungoma,Webuye East,Ndivisi
Bungoma,Webuye West,Bokoli
Bungoma,Webuye West,Matulo
Bungoma,Webuye West,Misikhu
Bungoma,Webuye West,Sitikho
Busia,Bunyala,Bunyala Central
Busia,Bunyala,Bunyala North
Busia,Bunyala,Bunyala South
Busia,Bunyala,Bunyala West
Busia,Butula,Elugulu
Busia,Butula,Kingandole
Busia,Butula,Marachi Central
Busia,Butula,Marachi East
Busia,Butula,Marachi North
Busia,Butula,Marachi West
Busia,Matayos,Bukhayo West
Busia,Matayos,Burumba
Busia,Matayos,Busibwabo
Busia,Matayos,Matayos South
Busia,Matayos,Mayenje
Busia,Nambale,Bukhayo Central
Busia,Nambale,Bukhayo East
Busia,Nambale,Bukhayo North Walatsi
Busia,Nambale,Nambale Township
Busia,Samia,Ageng'a Nanguba
Busia,Samia,Bwiri
Busia,Samia,Namboboto Nambuku
Busia,Samia,Nangina
Busia,Teso North,Ang'urai East
Busia,Teso North,Ang'urai North
Busia,Teso North,Ang'urai South
Busia,Teso North,Malaba Central
Busia,Teso North,Malaba North
Busia,Teso North,Malaba South
Busia,Teso South,Amukura Central
Busia,Teso South,Amukura East
Busia,Teso South,Amukura West
Busia,Teso South,Ang'orom
Busia,Teso South,Chakol North
Busia,Teso South,Chakol South
ELGEYO-MARAKWET,Keiyo North,Emsoo
ELGEYO-MARAKWET,Keiyo North,Kamariny
ELGEYO-MARAKWET,Keiyo North,Kapchemutwa
ELGEYO-MARAKWET,Keiyo North,Tambach
ELGEYO-MARAKWET,Keiyo South,Chepkorio
ELGEYO-MARAKWET,Keiyo South,Kabiemit
ELGEYO-MARAKWET,Keiyo South,Kaptarakwa
ELGEYO-MARAKWET,Keiyo South,Metkei
ELGEYO-MARAKWET,Keiyo South,Soy North
ELGEYO-MARAKWET,Keiyo South,Soy South
ELGEYO-MARAKWET,Marakwet East,Embobut/Embulot
ELGEYO-MARAKWET,Marakwet East,Endo
ELGEYO-MARAKWET,Marakwet East,Kapyego
ELGEYO-MARAKWET,Marakwet East,Sambirir
ELGEYO-MARAKWET,Marakwet West,Arror
ELGEYO-MARAKWET,Marakwet West,Cherangany
ELGEYO-MARAKWET,Marakwet West,Kapsowar
ELGEYO-MARAKWET,Marakwet West,Lelan
ELGEYO-MARAKWET,Marakwet West,Moiben Kuserwo
ELGEYO-MARAKWET,Marakwet West,Sengwer
EMBU,Manyatta,Gaturi north
EMBU,Manyatta,Gaturi south
EMBU,Manyatta,Kirimari
EMBU,Manyatta,Kithimu
EMBU,Manyatta,Mbeti north
EMBU,Manyatta,Nginda
EMBU,Manyatta,Ruguru-Ngandori
EMBU,Mbeere North,Evurore
EMBU,Mbeere North,Muminji
EMBU,Mbeere North,Nthawa
EMBU,Mbeere South,Kiambere
EMBU,Mbeere South,Makima
EMBU,Mbeere South,Mavuria
EMBU,Mbeere South,Mbeti south
EMBU,Mbeere South,Mwea
EMBU,Runyenjes,Central
EMBU,Runyenjes,Kaagari North
EMBU,Runyenjes,Kaagari South
EMBU,Runyenjes,Kyeni north
EMBU,Runyenjes,Kyeni south
GARISSA,Balambala,Balambala
GARISSA,Balambala,Danyere
GARISSA,Balambala,Jarajara
GARISSA,Balambala,Saka
GARISSA,Dadaab,Abakaile
GARISSA,Dadaab,Dadaab
GARISSA,Dadaab,Damajale
GARISSA,Dadaab,Dertu
GARISSA,Dadaab,LABISGALE
GARISSA,Dadaab,Liboi
GARISSA,Fafi,Bura
GARISSA,Fafi,Dekaharia
GARISSA,Fafi,Fafi
GARISSA,Fafi,Jarajila
GARISSA,Fafi,Nanighi
GARISSA,Garissa,Galbet
GARISSA,Garissa,Iftin
GARISSA,Garissa,Sankuri
GARISSA,Garissa,Township
GARISSA,Garissa,Waberi
GARISSA,Hulugho,Hulugho
GARISSA,Hulugho,Sangailu
GARISSA,Ijara,Ijara
GARISSA,Ijara,Masalani
GARISSA,Lagdera,Baraki
GARISSA,Lagdera,Benane
GARISSA,Lagdera,Goreale
GARISSA,Lagdera,Maalimin
GARISSA,Lagdera,Modogashe
GARISSA,Lagdera,Sabena
Homa Bay,Homa Bay Town,Homa Bay Arujo
Homa Bay,Homa Bay Town,Homa Bay Central
Homa Bay,Homa Bay Town,Homa Bay East
Homa Bay,Homa Bay Town,Homa Bay West
Homa Bay,Kabondo Kasipul,Kabondo East
Homa Bay,Kabondo Kasipul,Kabondo West
Homa Bay,Kabondo Kasipul,Kojwach
Homa Bay,Kabondo Kasipul,Kokwanyo/kakelo
Homa Bay,Karachuonyo,Central
Homa Bay,Karachuonyo,Kanyaluo
Homa Bay,Karachuonyo,Kendu Bay Town
Homa Bay,Karachuonyo,Kibiri
Homa Bay,Karachuonyo,North Karachuonyo
Homa Bay,Karachuonyo,Wang'chieng
Homa Bay,Karachuonyo,West Karachuonyo
Homa Bay,Kasipul,Central Kasipul
Homa Bay,Kasipul,East Kamagak
Homa Bay,Kasipul,South Kasipul
Homa Bay,Kasipul,West Kamagak
Homa Bay,Kasipul,West Kasipul
Homa Bay,Mbita,Gembe
Homa Bay,Mbita,Kasgunga
Homa Bay,Mbita,Lambwe
Homa Bay,Mbita,Mfangano Island
Homa Bay,Mbita,Rusinga Island
Homa Bay,Ndhiwa,Kabouch North
Homa Bay,Ndhiwa,Kabuoch South/pala
Homa Bay,Ndhiwa,Kanyadoto
Homa Bay,Ndhiwa,Kanyamwa Kologi
Homa Bay,Ndhiwa,Kanyamwa Kosewe
Homa Bay,Ndhiwa,Kanyikela
Homa Bay,Ndhiwa,Kwabwai
Homa Bay,Rangwe,East Gem
Homa Bay,Rangwe,Kagan
Homa Bay,Rangwe,Kochia
Homa Bay,Rangwe,West Gem
Homa Bay,Suba,Gwassi North
Homa Bay,Suba,Gwassi South
Homa Bay,Suba,Kaksingiri West
Homa Bay,Suba,Ruma-kaksingiri East
ISIOLO,Garbatulla,GARBATULLA
ISIOLO,Garbatulla,KINNA
ISIOLO,Garbatulla,SERICHO
ISIOLO,Isiolo,BULA PESA
ISIOLO,Isiolo,BURAT
ISIOLO,Isiolo,NGARE MARA
ISIOLO,Isiolo,OLDONYIRO
ISIOLO,Isiolo,WABERA
ISIOLO,Merti,CHARI
ISIOLO,Merti,CHERAB
KAJIADO,Kajiado Central,Dalalekutuk
KAJIADO,Kajiado Central,Ildamat
KAJIADO,Kajiado Central,Matapato north
KAJIADO,Kajiado Central,Matapato south
KAJIADO,Kajiado Central,Purko
KAJIADO,Kajiado East,Imaroro
KAJIADO,Kajiado East,Kaputiei north
KAJIADO,Kajiado East,Kenyawa-poka
KAJIADO,Kajiado East,Kitengela
KAJIADO,Kajiado East,Oloosirkon/sholinke
KAJIADO,Kajiado North,Ngong
KAJIADO,Kajiado North,Nkaimurunya
KAJIADO,Kajiado North,Olkeri
KAJIADO,Kajiado North,Oloolua
KAJIADO,Kajiado North,Ongata rongai
KAJIADO,Kajiado West,Ewuaso oonkidong'i
KAJIADO,Kajiado West,Iloodokilani
KAJIADO,Kajiado West,Keekonyokie
KAJIADO,Kajiado West,Magadi
KAJIADO,Kajiado West,Mosiro
KAJIADO,Loitokitok,Entonet/lenkism
KAJIADO,Loitokitok,Imbrikani/eselelnkei
KAJIADO,Loitokitok,Kimana
KAJIADO,Loitokitok,Kuku
KAJIADO,Loitokitok,Rombo
Kakamega,Butere,Marama Central
Kakamega,Butere,Marama North
Kakamega,Butere,Marama South
Kakamega,Butere,Marama West
Kakamega,Butere,Marenyo-shianda
Kakamega,Ikolomani,Idakho Central
Kakamega,Ikolomani,Idakho East
Kakamega,Ikolomani,Idakho North
Kakamega,Ikolomani,Idakho South
Kakamega,Khwisero,Kisa Central
Kakamega,Khwisero,Kisa East
Kakamega,Khwisero,Kisa North
Kakamega,Khwisero,Kisa West
Kakamega,Likuyani,Kongoni
Kakamega,Likuyani,Likuyani
Kakamega,Likuyani,Nzoia
Kakamega,Likuyani,Sango
Kakamega,Likuyani,Sinoko
Kakamega,Lugari,Chekalini
Kakamega,Lugari,Chevaywa
Kakamega,Lugari,Lugari
Kakamega,Lugari,Lumakanda
Kakamega,Lugari,Lwandeti
Kakamega,Lugari,Mautuma
Kakamega,Lurambi,Butsotso Central
Kakamega,Lurambi,Butsotso East
Kakamega,Lurambi,Butsotso South
Kakamega,Lurambi,Mahiakalo
Kakamega,Lurambi,Sheywe
Kakamega,Lurambi,Shirere
Kakamega,Malava,Butali Chegulo
Kakamega,Malava,Chemuche
Kakamega,Malava,East Kabras
Kakamega,Malava,Manda-shivanga
Kakamega,Malava,Shirungu-mugai
Kakamega,Malava,South Kabras
Kakamega,Malava,West Kabras
Kakamega,Matungu,Khalaba
Kakamega,Matungu,Kholera
Kakamega,Matungu,Koyonzo
Kakamega,Matungu,Mayoni
Kakamega,Matungu,Namamali
Kakamega,Mumias East,East Wanga
Kakamega,Mumias East,Lusheya Lubinu
Kakamega,Mumias East,Malaha Isongo Makunga
Kakamega,Mumias West,Etenje
Kakamega,Mumias West,Mumias Central
Kakamega,Mumias West,Mumias North
Kakamega,Mumias West,Musanda
Kakamega,Navakholo,Bunyala Central
Kakamega,Navakholo,Bunyala East
Kakamega,Navakholo,Bunyala West
Kakamega,Navakholo,Ingoste-matiha
Kakamega,Navakholo,Shinoyi-shikomari-esumeiya
Kakamega,Shinyalu,Isukha Central
Kakamega,Shinyalu,Isukha East
Kakamega,Shinyalu,Isukha North
Kakamega,Shinyalu,Isukha South
Kakamega,Shinyalu,Isukha West
Kakamega,Shinyalu,Murhanda
KERICHO,Ainamoi,Ainamoi
KERICHO,AINAMOI,BELGUT
KERICHO,Ainamoi,Kapkugerwet
KERICHO,Ainamoi,Kapsaos
KERICHO,Ainamoi,Kapsoit
KERICHO,Ainamoi,Kipchebor
KERICHO,Ainamoi,Kipchimchim
KERICHO,Belgut,Chaik
